hypothesis,algorithm,description_bits,labels_predicted_holdout,coverage_pairs,bits_below_lookup_after_costs,explains_39_93_19_91,negative_controls,contradictions,classification,metric_moved,evidence_path
paid_anchor_source_model,"Freeze 13 worksheet anchors, encode residual lookup, then charge exact anchor-pair set and anchor-label arrangement.",54.178 nominal reduction - 40.400 pair-set cost - 25.629 label-arrangement cost,0,13 anchors plus residual lookup over 55 pairs,-11.851749041416053,"stores 19 and 39 as anchors; does not derive why 39 is missing, 93 present, or 19/91 conflict",nominal random-subset p=0.0014; explicit paid model not promoted,Anchor labels/source are unpaid in the nominal model; explicit pair+label payment makes the full model worse than lookup.,REJECTED_CONTROL,5_falsification_strong,analysis/row0_origin_parallel_20260621/reports/test_results/159_row0_paid_anchor_reduction_gate.json
external_fixed_source_order,Require a pre-row0 source that fixes pair/cell order before fitting labels.,not chargeable: no source found,0,0/55,0.0,no,not run because the source prerequisite is absent,Any order chosen after seeing row0 is post-hoc and inadmissible.,BLOCKED_NEEDS_EXTERNAL_SOURCE,none,analysis/row0_origin_parallel_20260621/reports/row0_next_frontier_report.md
workbook_script_artifact_provenance,Use local workbook/script audit as artifact provenance; distinguish project reconstruction from CipSoft or in-game origin.,audit-only; not a generative code,0,project artifact surface only,0.0,no,not a label predictor,"4 workbooks, 4 scripts, and 98 tracked paths trace local project layers but not pre-project/CipSoft origin.",AUDIT_ONLY,none_new_provenance,analysis/row0_origin_parallel_20260621/reports/test_results/154_row0_deep_provenance_audit.json
manual_worksheet_reconstruction,"Treat row0 as a worksheet: freeze rare/surface/diagonal anchors, encode all remaining pair labels by lookup.",13 anchors reduce residual lookup from 160.521 to 106.343 before paying anchor costs,0,13/55 anchors before residual lookup,-11.851749041416053,"captures 39/19 as declared anchors, not as a rule",paid-anchor gate rejects the explicit pair+label version; rare singletons only break even,"A worksheet model is honest as provenance shape, but the chosen cells remain exogenous.",WEAK_CLUE,none,analysis/row0_origin_parallel_20260621/reports/test_results/156_row0_partial_worksheet_model.json
ordered_surface_exception_rule_39_93_19_91,"Fold 99 ordered codes to 55 unordered pairs, then keep an ordered-surface exception ledger for missing 39 and directed 19/91.",small surface ledger; no pair-label generator,0,54/55 pure unordered pairs plus one directed conflict,0.0,yes as render/surface facts only,recent formula compatibility audit confirms book-formula gains do not derive these facts,"It explains ordered-surface topology, not why labels I/N/N were assigned.",PROMOTED_MECHANICAL_CLUE,3_retained_surface_clue_not_new_origin_formula,analysis/prequential_and_row0_origin_audit_20260621/reports/test_results/70_recent_formula_row0_compatibility_audit.json
six_nine_quotient_orbit_compression,Quotient unordered pair cells by the fixed 6<->9 digit orbit and test whether orbit structure predicts labels.,quotient/orbit clue only; full label table still needs residual lookup,0,51/55 primary quotient hits,0.0,partly touches 39/93 but does not explain the directed absence/conflict,"fixed-swap control p=0.0152; weak signal, not full formula",Mixed non-singleton orbits remain; the quotient does not assign all labels.,WEAK_CLUE,none,analysis/generator_search_20260618/digit_orbit_robust_control_results.json
diagonal_E_pressure,Declare diagonal cells as a family and assign E to the observed diagonal-E anchors.,positive only if the diagonal family is supplied; explicit pair costs are negative,0,5 diagonal E anchors,4.901113169839412,no,diagonal-family random-subset p=0.9816,The family-supplied lower bound is ordinary under diagonal-family controls.,REJECTED_CONTROL,5_falsification_strong,analysis/row0_origin_parallel_20260621/reports/test_results/159_row0_paid_anchor_reduction_gate.json
grid_coordinate_formula_paid,Best simple coordinate stump: numpad_le_1 -> E/N with leave-one-out scoring.,does not beat lookup; rule family searched and controlled,15,55/55 predictions,0.0,no,label-shuffle p=0.1856; digit-permutation p=0.2908,Best stump accuracy is low and ordinary for the searched family.,REJECTED_CONTROL,5_falsification_strong,analysis/row0_origin_parallel_20260621/reports/test_results/144_row0_priority_layer_mdl.json
inventory_frequency_derivation_holdout,"Use fixed/frequency-driven pair placement plus symbol inventory, then test the same rule on held-out books.",inventory/order rule only; no paid row0 formula,6,6/55 holdout hits,0.0,no,holdout control p=0.6614; fixed-order random control p=0.3337,Train-selected order does not generalize; fixed orders top out at 8/55 observed hits.,REJECTED_CONTROL,5_falsification_strong,analysis/row0_origin_parallel_20260621/reports/test_results/146_row0_fill_order_inventory_search.json
recent_book_formula_as_row0_evidence,Ask whether the current 8154.676268-bit book formula predicts the row0 table rather than merely using it.,excluded from row0 scoring,0,0/55 direct row0 predictions,0.0,no,compatibility gate has predicts_row0_labels_under_holdout=false and beats_row0_lookup_after_cost=false,The formula improves downstream book generation while assuming row0 as substrate.,AUDIT_ONLY,none,analysis/prequential_and_row0_origin_audit_20260621/reports/test_results/70_recent_formula_row0_compatibility_audit.json
